,negative,anticipation,anger,surprise,positive,fear,sadness,disgust,trust,joy
420,,,,,,,,,,
421,,,,,,,,,,
422,,,,,,,,,,
423,,,,,,,,,,
424,,,,,,,,,,
425,,,,,,,,,,
426,,,,,,,,,,
427,1.0,,1.0,1.0,,1.0,1.0,,,
428,,,,,,,,,1.0,
429,,,,,,,,,1.0,
430,,,,,,,,,,
431,,,,,2.0,,,,,
432,,,,,2.0,,,,,
433,,,,,2.0,,,,,
434,1.0,,,,,,,,,
435,,,,,,,,,,
436,1.0,,,,,,,,,
437,,,,,,,,,,
438,1.0,,,,,1.0,1.0,1.0,1.0,
439,,,,,,,,,,
440,,,,,1.0,,,,1.0,1.0
441,,,,,1.0,,,,1.0,1.0
442,,,,,1.0,,,,1.0,1.0
443,,,,,1.0,,,,1.0,1.0
444,,,,,1.0,,,,1.0,1.0
445,,,,,,,,,,
446,,,,1.0,,,,,,
447,,,,1.0,,,,,,
448,1.0,1.0,,,,,,,,
449,,,1.0,,,,,,,
450,,1.0,,,,,,,,
451,,1.0,,,,,,,,
452,1.0,,,,,,1.0,,,
453,,,,,,,,,,
454,,,,,,,,,,
455,,,,,,,,,,
456,,,,,,,,,,
457,,,,,,,,,,
458,,,,,,,,,,
459,1.0,,2.0,,1.0,1.0,1.0,,,
460,1.0,2.0,,,,,,,1.0,
461,1.0,1.0,1.0,,,1.0,,,,
462,,,1.0,,1.0,,,,1.0,1.0
463,,,1.0,,1.0,,,,1.0,1.0
464,,,,,,,,,,
465,,,,,,,,,,
466,1.0,,,1.0,3.0,1.0,,,2.0,1.0
467,1.0,,,1.0,3.0,1.0,,,2.0,1.0
468,,,,,,,,,,
469,,,,,1.0,,,,1.0,1.0
470,,,,,,,,,,
471,,,,,,,,,,
472,,,,,,,,,,
473,,1.0,,,,,,,,
474,,,,,,,,,,
475,1.0,1.0,,,,,,,1.0,
476,1.0,1.0,,,,,,,1.0,
477,1.0,1.0,,,,,,,1.0,
478,1.0,1.0,,,,,,,1.0,
479,1.0,1.0,2.0,,1.0,3.0,1.0,,1.0,1.0
480,,,,,1.0,,,,,
481,,1.0,,1.0,1.0,,,,,1.0
482,,,,,,,,,,
483,,,,,,,,,,
484,,,,,1.0,,,,,
485,,,,,,,,,,
486,,1.0,,,,,,,,
487,,1.0,,,,,,,1.0,
488,,,,,,,,,,
489,,,,,1.0,,,,1.0,
490,1.0,,,,,2.0,1.0,,,
491,1.0,,,,,2.0,1.0,,,
492,1.0,,,,,2.0,1.0,,,
493,,,,,,,,,,
494,,,,,,,,,,
495,,,,,,,,,,
496,,,,,,,,,,
497,,,,,,,,,,
498,2.0,,,,,,,1.0,,
499,2.0,,,,,,,1.0,,
500,,2.0,,1.0,,,,,,
501,,2.0,,1.0,,,,,,
502,,1.0,,1.0,,,,,,
503,1.0,,1.0,,,1.0,1.0,1.0,,
504,1.0,,1.0,,1.0,1.0,1.0,,,
505,,,,,,,,,,
506,,1.0,,,,,,,,
507,,,,,,,,,,
508,1.0,,,,,1.0,1.0,,,
509,1.0,,,,,1.0,1.0,,,
510,,1.0,,,,,,,,
511,,,,,,,,,,
512,,,,,,,,,,
513,,,,,,,,,,
514,,,,,,,,,,
515,,,,,,,,,,
516,,,,,,,,,,
517,,,,,,,,,,
518,,,,,,,,,,
519,,,,,,,,,,
520,1.0,,1.0,,,,,1.0,,
521,1.0,,1.0,,,,,1.0,,
522,,,,,,,,,,
523,,,,,,,,,,
524,1.0,,,,,,,,,
525,,,,,,,,,1.0,
526,,,,,,,,,,
527,1.0,,1.0,,,1.0,,1.0,,
528,1.0,,1.0,,,1.0,,1.0,,
529,1.0,,1.0,,,1.0,,1.0,,
530,,1.0,,,,,,,,
531,,,,,,,,,,
532,,1.0,,1.0,1.0,,,,1.0,1.0
533,1.0,1.0,,,,,,,,
534,2.0,1.0,,,2.0,1.0,,,3.0,
535,1.0,,,,,,,,,
536,,,,,,,,,,
537,,,,,,,,,,
538,,,,,,,,,,
539,,,,,,,,,1.0,
540,,,,,,,,,,
541,1.0,,,,,,,,,
542,,,,,1.0,,,,,
543,,,,,,,,,,
544,,,,,1.0,,,,1.0,1.0
545,,1.0,,,1.0,,,,1.0,1.0
546,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,
547,1.0,,,,,,,,,
548,,,,,,,,,,
549,,,,,1.0,,,,,
550,1.0,3.0,1.0,,,1.0,1.0,,,
551,,,,,1.0,,,,1.0,1.0
552,,,,,2.0,,,,1.0,
553,,,,,2.0,,,,1.0,
554,,,,,2.0,,,,1.0,
555,,,,,2.0,,,,1.0,
556,,,,,1.0,,,,1.0,1.0
557,,,,,1.0,,,,1.0,1.0
558,,,,,1.0,,,,1.0,1.0
559,,,,,1.0,,,,1.0,1.0
560,,,,,1.0,,,,1.0,1.0
561,,,,,1.0,,,,2.0,1.0
562,,,,,,,,,,
563,,1.0,,,1.0,1.0,,,,
564,,,,,,,,,,
565,,,,,,,,,,
566,,,,,,,,,,
567,,,,,1.0,,,,1.0,1.0
568,,,,,1.0,,,,1.0,1.0
569,,,,,,1.0,,,1.0,
570,,,,,,,,,,
571,2.0,2.0,,1.0,1.0,2.0,,,,1.0
572,,1.0,,,,,,,,
573,,,,,1.0,,,,1.0,
574,3.0,1.0,1.0,1.0,,2.0,2.0,1.0,,
575,3.0,1.0,1.0,1.0,,2.0,2.0,1.0,,
576,3.0,1.0,1.0,1.0,,2.0,2.0,1.0,,
577,,,,,,,,,,
578,,,,,,,,,,
579,1.0,,,,1.0,,,,,
580,,,,,,,,,,
581,,,,,,,,,,
582,,1.0,,1.0,1.0,,,,,1.0
583,,1.0,,1.0,1.0,,,,,1.0
584,1.0,,,,,,1.0,,,
585,,,,,,,,,,
586,,,,,,,,,,
587,,,,,,,,,,
588,2.0,2.0,2.0,,,2.0,2.0,1.0,1.0,
589,,,,,1.0,,,,,
590,,,,,1.0,,,,,
591,,,,,1.0,,,,1.0,
592,,,,,,,,,,
593,,,,,,,,,,
594,1.0,,,,,,,,,
595,1.0,,,,,,,,,
596,1.0,,,,,,,,,
597,2.0,1.0,,,,1.0,1.0,,,
598,,,,,,,,,,
599,,,,,,,,,,
600,,,,1.0,1.0,,,,1.0,1.0
601,,,,1.0,1.0,,,,1.0,1.0
602,1.0,,2.0,,1.0,1.0,,,,
603,,,,,1.0,,,,,
604,,1.0,,,1.0,,,,1.0,1.0
605,,,1.0,,,,,,,
606,,,,,1.0,,,,1.0,
607,,,,,,,,,,
608,,1.0,,,1.0,,,,,
609,,1.0,,,1.0,,,,,
610,1.0,1.0,1.0,,2.0,,1.0,,1.0,
611,,,,,,,,,,
612,,,,,,,,,,
613,2.0,1.0,1.0,,,1.0,1.0,,,
614,,,,,1.0,,,,,
615,,,,,,,,,,
616,,2.0,,1.0,1.0,,,,1.0,1.0
617,,,,,,,,,,
618,,,,,,,,,,
619,,,,,,1.0,,,,
620,,,,,,,,,,
621,1.0,,,,,1.0,1.0,,,
622,,,,,,,,,,
623,,,,,,,,,,
624,,,,1.0,,,,,,
625,,1.0,,,,,,,,
626,,1.0,,,,,,,,
627,,,,,,,,,,
628,1.0,,,,,,,,,
629,1.0,,,,,,,,,
630,3.0,,2.0,,,3.0,,,,
631,3.0,,2.0,,,3.0,,,,
632,1.0,1.0,1.0,,1.0,1.0,,,,
633,,1.0,,,1.0,,1.0,,,1.0
634,,1.0,,,1.0,,1.0,,,1.0
635,1.0,,,,,1.0,,,,
636,1.0,,1.0,1.0,,1.0,,1.0,,
637,,,,,1.0,,,,,
638,,,,,1.0,,,,,
639,,1.0,,,1.0,,1.0,,,1.0
640,,,,,2.0,,,,,
