,title,publication,date,exclude,MWPS,MStopWPS,sentence_per_article,Burnet,Doherty,BlakelyThompson,mean_sent,title_word_count,title_stop_words,title_sent,title_fear,mean_title_sent
48, Queensland Speaker dismisses LNP referral of Palaszczuk to parliamentary committee over Doherty COVID modelling:   A referral made by the Queensland Opposition alleging Premier Annastacia Palaszczuk deliberately misled Parliament over Doherty Institute COVID modelling is dismissed by the Speaker., ABC Premium News; Sydney," Sep 29, 2021",0,27.2,9.7,20,,Doherty,,0.026973577,40,9,0,0,0
49," When are COVID disaster payments ending and why is the government phasing them out?:   The federal government has outlined how the payments, which are designed to support people who have lost work during lockdowns, will be phased out as more Australians are vaccinated.", ABC Premium News; Sydney," Sep 29, 2021",0,23.54166667,8.125,48,,Doherty,,-0.001784327,48,22,-4,3,-0.083333333
50," Tasmania needs 90 per cent COVID vaccination rate before fully opening borders, Premier warns:   Tasmania's Premier warns the state will not reopen its borders to all interstate travellers until it reaches a 90 per cent vaccination rate, saying modelling for an 80 per cent target shows the state could record nearly 15,000 COVID cases in six months.", ABC Premium News; Sydney," Sep 29, 2021",0,34.6,12.6,35,,Doherty,,0.001670803,62,14,1,0,0.016129032
51, Tasmania doubles down on tough borders, AAP Bulletin Wire; Sydney," Sep 29, 2021",0,21.47619048,7.19047619,21,,Doherty,,0.016386341,6,2,-1,0,-0.166666667
52, Tasmania doubles down on tough borders, AAP General News Wire; Sydney," Sep 29, 2021",0,28,8.5,2,,,,0,6,2,-1,0,-0.166666667
53, 'Unprecedented demand' hits triple zero, AAP General News Wire; Sydney," Sep 29, 2021",1,31.66666667,10,3,,,,-0.02958153,6,0,-1,0,-0.166666667
54, Vic child dies after family on hold to 000, AAP General News Wire; Sydney," Sep 29, 2021",1,28.5,11,4,,,,-0.071895425,9,3,1,0,0.111111111
55, State on edge as lockdown looms," The Courier - Mail; Brisbane, Qld."," Sep 29, 2021",0,32.92307692,9.179487179,39,,Doherty,,0.003354335,6,2,0,0,0
56, Q & A," Herald Sun; Melbourne, Vic."," Sep 29, 2021",0,20.78947368,6.315789474,19,Burnet,,,0.003748832,3,0,0,0,0
57, State on edge as lockdown looms," The Courier - Mail; Brisbane, Qld."," Sep 29, 2021",0,32.92307692,9.179487179,39,,Doherty,,0.003354335,6,2,0,0,0
58, State on edge as lockdown looms," The Courier - Mail; Brisbane, Qld."," Sep 29, 2021",0,32.92307692,9.179487179,39,,Doherty,,0.003354335,6,2,0,0,0
59, No fines for businesses letting in unvaxxed customers," The Daily Telegraph; Surry Hills, N.S.W."," Sep 29, 2021",0,23.3125,7.8125,16,,,,0.040835876,8,2,0,0,0
60, Vaccinating children ‘to slash hospital rates’," The Australian; Canberra, A.C.T."," Sep 29, 2021",0,26.14285714,9.535714286,28,,Doherty,Blakely,0.045196477,8,1,0,1,0
61, State on edge as lockdown looms," The Courier - Mail; Brisbane, Qld."," Sep 29, 2021",0,32.92307692,9.179487179,39,,Doherty,,0.003354335,6,2,0,0,0
62, No fines for businesses letting in unvaxxed customers," The Daily Telegraph; Surry Hills, N.S.W."," Sep 29, 2021",0,23.3125,7.8125,16,,,,0.040835876,8,2,0,0,0
63, Vaccinating children ‘to slash hospital rates’," The Australian; Canberra, A.C.T."," Sep 29, 2021",0,26.14285714,9.535714286,28,,Doherty,Blakely,0.045196477,8,1,0,1,0
64," Vic paramedics, triple zero under pressure", AAP General News Wire; Sydney," Sep 29, 2021",1,30.5,11.75,4,,,,-0.064473684,7,1,-1,0,-0.142857143
65, COVID - is our health system ready?," Merimbula News Weekly; Merimbula, N.S.W."," Sep 29, 2021",0,17.03846154,5.923076923,26,,Doherty,,0.004806606,8,2,0,0,0
66, Comment - COVID raises the stakes," Milton Ulladulla Times; Ulladulla, N.S.W."," Sep 29, 2021",0,18.82857143,6.742857143,35,,Doherty,,0.009612069,6,1,0,0,0
67, Comment - COVID raises the stakes," South Coast Register; Nowra, N.S.W."," Sep 29, 2021",0,18.82857143,6.742857143,35,,Doherty,,0.009612069,6,1,0,0,0
68, Comment - COVID raises the stakes," Southern Highland News; Bowral, N.S.W."," Sep 29, 2021",0,18.88571429,6.771428571,35,,Doherty,,0.009528527,6,1,0,0,0
69, Is our health system ready for re-opening?," Bay Post; Batemans Bay, N.S.W."," Sep 29, 2021",0,19.23529412,6.882352941,34,,Doherty,,0.009731378,8,2,0,0,0
70, Comment - COVID raises the stakes," Narooma News; Narooma, N.S.W."," Sep 29, 2021",0,18.88571429,6.742857143,35,,Doherty,,0.009453339,6,1,0,0,0
71, Comment - COVID raises the stakes," Goulburn Post; Goulburn, N.S.W."," Sep 29, 2021",0,18.85714286,6.742857143,35,,Doherty,,0.009528527,6,1,0,0,0
72, Emergency call record raises health system alarm:   Exclusive," The Age; Melbourne, Vic."," Sep 29, 2021",0,28.27027027,9.459459459,37,Burnet,,,-0.023671618,9,0,-1,1,-0.111111111
73, Victoria's COVID cases surge past NSW's," The Age; Melbourne, Vic."," Sep 29, 2021",0,27.71428571,8.535714286,28,Burnet,,,0.000676328,8,0,0,0,0
74, Epidemiologists reveal when Victoria’s case numbers peak, Herald Sun (Online); Melbourne," Sep 28, 2021",0,22.13333333,6.533333333,15,Burnet,,,-0.002350427,9,2,0,1,0
75, Queensland on edge as CHO reveals what will trigger another lockdown," The Courier - Mail (Online); Brisbane, Qld."," Sep 28, 2021",0,31.59375,10.4375,32,,Doherty,,0.007836543,11,4,0,0,0
76, Pauline Hanson says she hasn’t been able to see long-term partner for months due to border closures," News.com.au; Sydney, N.S.W."," Sep 28, 2021",0,23.625,8.666666667,24,,Doherty,,0.020917971,19,7,1,0,0.052631579
77, Vaccinating kids ‘would slash hospitalisations’," The Australian (Online); Canberra, A.C.T."," Sep 28, 2021",0,26.69230769,9.846153846,26,,Doherty,Blakely,0.048673129,7,0,0,0,0
78, Pauline Hanson says she hasn’t been able to see long-term partner for months due to border closures," News.com.au; Sydney, N.S.W."," Sep 28, 2021",0,23.625,8.666666667,24,,Doherty,,0.020917971,19,7,1,0,0.052631579
79, Coronavirus: Victoria’s health system is under siege," The Australian (Online); Canberra, A.C.T."," Sep 28, 2021",0,24.70588235,10,17,Burnet,,,0.048997127,10,3,0,0,0
80," Covid-19: Queensland announces mandatory vaccinations for truckies, while Tweed-Byron lockdown to end at midnight", The Gold Coast Bulletin (Online); Southport," Sep 28, 2021",1,22.90909091,7.181818182,33,,,,0.013550495,16,4,0,0,0
81, WE’RE STOP OF THE WORLD," The Daily Telegraph; Surry Hills, N.S.W."," Sep 28, 2021",0,45,14.38235294,34,,Doherty,,0.013486729,7,0,0,0,0
82, Jabs prove modelling pessimists wrong," The Australian; Canberra, A.C.T."," Sep 28, 2021",0,32.5,11.84615385,26,Burnet,,,-0.008506289,5,0,0,0,0
83, Our Three Stooges are nothing to laugh about," The Courier - Mail; Brisbane, Qld."," Sep 28, 2021",0,24.83333333,9.444444444,36,,Doherty,,0.008334371,8,3,1,0,0.125
84, Jabs prove modelling pessimists wrong," The Australian; Canberra, A.C.T."," Sep 28, 2021",0,32.46153846,11.84615385,26,Burnet,,,-0.008346032,5,0,0,0,0
85, We’re all ready to be model citizens," The Courier - Mail; Brisbane, Qld."," Sep 28, 2021",0,37.09090909,13.18181818,22,,Doherty,,0.044887235,9,4,1,0,0.111111111
86, Delta delay ‘to set economic recovery back by six months’," The Australian; Canberra, A.C.T."," Sep 28, 2021",0,38.47058824,12.11764706,17,,Doherty,,-0.027522764,12,2,0,1,0
87, WE’RE STOP OF THE WORLD," The Daily Telegraph; Surry Hills, N.S.W."," Sep 28, 2021",0,44.97058824,14.5,34,,Doherty,,0.014898525,7,0,0,0,0
88, Delta delay ‘to set economic recovery back by six months’," The Australian; Canberra, A.C.T."," Sep 28, 2021",0,38.35294118,12.11764706,17,,Doherty,,-0.027522764,12,2,0,1,0
89, Herald Sun," Herald Sun; Melbourne, Vic."," Sep 28, 2021",0,32.32142857,10.39285714,28,,Doherty,,0.018080567,2,0,0,0,0
90, Borders ‘stay shut until curbs lifted’," The Australian; Canberra, A.C.T."," Sep 28, 2021",0,36.72222222,13.16666667,18,,Doherty,,0.027581443,8,1,0,0,0
91, Borders ‘stay shut until curbs lifted’," The Australian; Canberra, A.C.T."," Sep 28, 2021",0,36.72222222,13.16666667,18,,Doherty,,0.027581443,8,1,0,0,0
92, Feds pile pressure on Prem," The Gold Coast Bulletin; Southport, Qld."," Sep 28, 2021",0,31.22222222,11.11111111,18,,Doherty,,0.033889802,5,1,-1,0,-0.2
93, Delta delay ‘to set economic recovery back by six months’," The Australian; Canberra, A.C.T."," Sep 28, 2021",0,38.47058824,12.11764706,17,,Doherty,,-0.027522764,12,2,0,1,0
94, We’re all ready to be model citizens," The Courier - Mail; Brisbane, Qld."," Sep 28, 2021",0,37.09090909,13.18181818,22,,Doherty,,0.044887235,9,4,1,0,0.111111111
95, Jabs prove modelling pessimists wrong," The Australian; Canberra, A.C.T."," Sep 28, 2021",0,32.5,11.84615385,26,Burnet,,,-0.008506289,5,0,0,0,0
96, Joyce and local doctors agree: Only vaccination can save the local health system," The Armidale Express; Cessnock, N.S.W."," Sep 28, 2021",0,33.25,12.13888889,36,,Doherty,,-0.003022434,14,3,2,0,0.142857143
97, Pandemic pressure: Can NSW rural and regional health cope?," The Dungog Chronicle; Dungog, N.S.W."," Sep 28, 2021",0,26.21428571,9.404761905,42,,Doherty,,0.00623658,11,1,-1,0,-0.090909091
98, Joyce and local doctors agree: Only vaccination can save the local health system," The Armidale Express; Cessnock, N.S.W."," Sep 28, 2021",0,33.25,12.13888889,36,,Doherty,,-0.003022434,14,3,2,0,0.142857143
99, Vaccines begin to quell ICU numbers:   HOSPITALISATIONS PLATEAU," Sydney Morning Herald; Sydney, N.S.W."," Sep 28, 2021",0,27.25,9.035714286,28,Burnet,,,0.028083605,9,1,0,0,0
100," NSW was sent more than 100,000 extra Pfizer doses, but the discrepancy is only a tenth of what Victoria claimed it was owed:   NSW was sent about 126,000 extra doses of Pfizer, beyond that which had been publicly announced by the federal government, as of the end of August. But the discrepancy is only about a tenth of the 340,000 doses Victoria's government claimed it was owed this week.", ABC Premium News; Sydney," Sep 10, 2021",0,27.62162162,9.378378378,37,Burnet,,,0.032237455,76,35,0,2,0
101, Health stress warning over reopening plans, AAP General News Wire; Sydney," Sep 10, 2021",0,22.68,7.36,25,,Doherty,,0.021889874,6,1,-1,1,-0.166666667
102, Have your say," The Advertiser; Adelaide, S. Aust."," Sep 10, 2021",0,20.93617021,7.468085106,47,,Doherty,,0.001446314,3,1,0,0,0
103, Health stress warning over reopening plans, AAP Bulletin Wire; Sydney," Sep 10, 2021",0,20.62068966,6.724137931,29,,Doherty,,0.026535254,6,1,-1,1,-0.166666667
