,fear,negative,sadness,positive,trust,surprise,anticipation,joy,anger,disgust
1430,24.0,26.0,20.0,38.0,33.0,4.0,11.0,4.0,6.0,5.0
1431,24.0,26.0,20.0,38.0,33.0,4.0,11.0,4.0,6.0,5.0
1432,10.0,13.0,7.0,71.0,37.0,11.0,22.0,19.0,9.0,2.0
1433,25.0,27.0,20.0,38.0,33.0,4.0,11.0,4.0,6.0,5.0
1434,25.0,27.0,20.0,38.0,33.0,4.0,11.0,4.0,6.0,5.0
1435,22.0,33.0,14.0,30.0,20.0,6.0,15.0,8.0,8.0,8.0
1436,26.0,38.0,15.0,33.0,23.0,6.0,11.0,5.0,18.0,8.0
1437,24.0,26.0,20.0,38.0,33.0,4.0,11.0,4.0,6.0,5.0
1438,24.0,26.0,20.0,38.0,33.0,4.0,11.0,4.0,6.0,5.0
1439,24.0,26.0,20.0,38.0,33.0,4.0,11.0,4.0,6.0,5.0
1440,25.0,27.0,20.0,39.0,33.0,4.0,12.0,4.0,7.0,5.0
1441,26.0,29.0,22.0,41.0,35.0,4.0,13.0,4.0,9.0,5.0
1442,3.0,5.0,2.0,39.0,14.0,6.0,14.0,4.0,1.0,2.0
1443,15.0,19.0,17.0,28.0,14.0,8.0,12.0,5.0,5.0,5.0
1444,10.0,24.0,10.0,27.0,16.0,,11.0,2.0,8.0,2.0
1445,19.0,7.0,4.0,31.0,16.0,3.0,10.0,5.0,2.0,1.0
1446,3.0,7.0,4.0,27.0,10.0,1.0,4.0,,5.0,
1447,13.0,20.0,4.0,24.0,21.0,,11.0,5.0,2.0,2.0
1448,13.0,20.0,4.0,24.0,21.0,,11.0,5.0,2.0,2.0
1449,16.0,24.0,7.0,32.0,19.0,3.0,13.0,3.0,3.0,4.0
1450,15.0,23.0,7.0,28.0,15.0,3.0,12.0,2.0,3.0,4.0
1451,10.0,16.0,9.0,34.0,18.0,3.0,19.0,7.0,6.0,3.0
1452,8.0,9.0,2.0,39.0,20.0,3.0,25.0,6.0,3.0,1.0
1453,31.0,39.0,27.0,59.0,32.0,16.0,25.0,11.0,15.0,10.0
1454,12.0,35.0,14.0,35.0,18.0,6.0,20.0,9.0,18.0,3.0
1455,7.0,11.0,6.0,37.0,17.0,4.0,15.0,2.0,3.0,
1456,36.0,48.0,24.0,46.0,29.0,8.0,35.0,11.0,12.0,7.0
1457,36.0,48.0,24.0,46.0,29.0,8.0,35.0,11.0,12.0,7.0
1458,7.0,10.0,7.0,14.0,8.0,3.0,9.0,2.0,3.0,5.0
1459,3.0,10.0,6.0,14.0,6.0,3.0,7.0,2.0,5.0,2.0
1460,7.0,9.0,2.0,4.0,6.0,2.0,6.0,,3.0,1.0
1461,13.0,14.0,11.0,19.0,14.0,3.0,5.0,3.0,4.0,6.0
1462,9.0,21.0,11.0,23.0,12.0,5.0,10.0,6.0,4.0,4.0
1463,8.0,18.0,9.0,26.0,12.0,4.0,10.0,6.0,4.0,3.0
1464,29.0,35.0,14.0,29.0,13.0,10.0,21.0,6.0,10.0,6.0
1465,27.0,34.0,13.0,30.0,14.0,10.0,21.0,6.0,9.0,5.0
1466,29.0,44.0,28.0,41.0,30.0,4.0,25.0,7.0,11.0,7.0
1467,14.0,23.0,9.0,32.0,17.0,4.0,16.0,7.0,4.0,1.0
1468,7.0,7.0,3.0,12.0,8.0,3.0,7.0,3.0,4.0,1.0
1469,11.0,13.0,5.0,20.0,17.0,3.0,7.0,7.0,8.0,2.0
1470,14.0,22.0,9.0,36.0,20.0,4.0,16.0,8.0,3.0,1.0
1471,14.0,22.0,9.0,36.0,20.0,4.0,16.0,8.0,3.0,1.0
1472,43.0,66.0,32.0,46.0,27.0,5.0,18.0,8.0,11.0,15.0
1473,10.0,12.0,5.0,20.0,17.0,3.0,7.0,7.0,7.0,2.0
1474,12.0,13.0,15.0,13.0,11.0,2.0,8.0,2.0,2.0,2.0
1475,12.0,13.0,15.0,13.0,11.0,2.0,8.0,2.0,2.0,2.0
1476,6.0,9.0,5.0,15.0,9.0,1.0,4.0,3.0,2.0,2.0
1477,24.0,25.0,18.0,30.0,13.0,3.0,11.0,3.0,10.0,1.0
1478,18.0,30.0,15.0,41.0,20.0,5.0,14.0,6.0,8.0,4.0
1479,23.0,32.0,15.0,41.0,23.0,5.0,14.0,8.0,12.0,8.0
1480,22.0,21.0,13.0,36.0,25.0,5.0,22.0,4.0,4.0,5.0
1481,22.0,21.0,13.0,36.0,25.0,5.0,22.0,4.0,4.0,5.0
1482,22.0,21.0,13.0,36.0,25.0,5.0,22.0,4.0,4.0,5.0
1483,18.0,22.0,9.0,27.0,24.0,1.0,8.0,1.0,1.0,
1484,17.0,21.0,13.0,27.0,16.0,2.0,8.0,3.0,8.0,6.0
1485,9.0,13.0,3.0,18.0,4.0,1.0,10.0,1.0,5.0,2.0
1486,9.0,13.0,3.0,18.0,4.0,1.0,10.0,1.0,5.0,2.0
1487,3.0,8.0,4.0,15.0,7.0,,4.0,,4.0,4.0
1488,3.0,8.0,4.0,15.0,7.0,,4.0,,4.0,4.0
1489,12.0,11.0,1.0,20.0,14.0,3.0,7.0,2.0,2.0,1.0
1490,11.0,14.0,3.0,18.0,9.0,1.0,7.0,3.0,5.0,2.0
1491,12.0,15.0,3.0,28.0,11.0,1.0,8.0,4.0,5.0,1.0
1492,40.0,45.0,33.0,50.0,28.0,13.0,22.0,20.0,13.0,7.0
1493,12.0,14.0,3.0,28.0,17.0,3.0,16.0,5.0,8.0,
1494,12.0,14.0,3.0,28.0,17.0,3.0,16.0,5.0,8.0,
1495,12.0,14.0,3.0,28.0,17.0,3.0,16.0,5.0,8.0,
1496,5.0,8.0,,26.0,13.0,3.0,12.0,7.0,4.0,1.0
1497,49.0,59.0,20.0,82.0,55.0,8.0,34.0,10.0,9.0,7.0
1498,21.0,30.0,22.0,52.0,28.0,8.0,15.0,7.0,6.0,8.0
1499,6.0,16.0,10.0,58.0,35.0,12.0,30.0,24.0,2.0,2.0
1500,6.0,16.0,10.0,60.0,36.0,13.0,31.0,25.0,2.0,2.0
