,title,publication,date,exclude,MWPS,MStopWPS,sentence_per_article,Burnet,Doherty,BlakelyThompson,text_sentiment,title_word_count,title_stop_words,title_sent,title_fear,mean_title_sent
68, Comment - COVID raises the stakes," Southern Highland News; Bowral, N.S.W."," Sep 29, 2021",0,18.88571429,6.771428571,35,,Doherty,,0.029198017,6,1,0,0,0
69, Is our health system ready for re-opening?," Bay Post; Batemans Bay, N.S.W."," Sep 29, 2021",0,19.23529412,6.882352941,34,,Doherty,,0.029979383,8,2,0,0,0
70, Comment - COVID raises the stakes," Narooma News; Narooma, N.S.W."," Sep 29, 2021",0,18.88571429,6.742857143,35,,Doherty,,0.02912283,6,1,0,0,0
71, Comment - COVID raises the stakes," Goulburn Post; Goulburn, N.S.W."," Sep 29, 2021",0,18.85714286,6.742857143,35,,Doherty,,0.029198017,6,1,0,0,0
72, Emergency call record raises health system alarm:   Exclusive," The Age; Melbourne, Vic."," Sep 29, 2021",0,28.27027027,9.459459459,37,Burnet,,,0.011514158,9,0,-1,1,-0.111111111
73, Victoria's COVID cases surge past NSW's," The Age; Melbourne, Vic."," Sep 29, 2021",0,27.71428571,8.535714286,28,Burnet,,,0.010822523,8,0,0,0,0
74, Epidemiologists reveal when Victoria’s case numbers peak, Herald Sun (Online); Melbourne," Sep 28, 2021",0,22.13333333,6.533333333,15,Burnet,,,0.017611093,9,2,1,0,0.142857143
75, Queensland on edge as CHO reveals what will trigger another lockdown," The Courier - Mail (Online); Brisbane, Qld."," Sep 28, 2021",0,31.59375,10.4375,32,,Doherty,,0.024581685,11,4,0,0,0
76, Pauline Hanson says she hasn’t been able to see long-term partner for months due to border closures," News.com.au; Sydney, N.S.W."," Sep 28, 2021",0,23.625,8.666666667,24,,Doherty,,0.034364565,19,7,2,0,0.166666667
77, Vaccinating kids ‘would slash hospitalisations’," The Australian (Online); Canberra, A.C.T."," Sep 28, 2021",0,26.69230769,9.846153846,26,,Doherty,Blakely,0.070063135,7,0,0,0,0
78, Pauline Hanson says she hasn’t been able to see long-term partner for months due to border closures," News.com.au; Sydney, N.S.W."," Sep 28, 2021",0,23.625,8.666666667,24,,Doherty,,0.034364565,19,7,2,0,0.166666667
79, Coronavirus: Victoria’s health system is under siege," The Australian (Online); Canberra, A.C.T."," Sep 28, 2021",0,24.70588235,10,17,Burnet,,,0.057443582,10,3,0,0,0
80," Covid-19: Queensland announces mandatory vaccinations for truckies, while Tweed-Byron lockdown to end at midnight", The Gold Coast Bulletin (Online); Southport," Sep 28, 2021",1,22.90909091,7.181818182,33,,,,0.045107685,16,4,0,0,0
81, WE’RE STOP OF THE WORLD," The Daily Telegraph; Surry Hills, N.S.W."," Sep 28, 2021",0,45,14.38235294,34,,Doherty,,0.015240185,7,0,0,0,0
82, Jabs prove modelling pessimists wrong," The Australian; Canberra, A.C.T."," Sep 28, 2021",0,32.5,11.84615385,26,Burnet,,,-0.005028931,5,0,-1,1,-0.2
83, Our Three Stooges are nothing to laugh about," The Courier - Mail; Brisbane, Qld."," Sep 28, 2021",0,24.83333333,9.444444444,36,,Doherty,,0.018096453,8,3,1,0,0.2
84, Jabs prove modelling pessimists wrong," The Australian; Canberra, A.C.T."," Sep 28, 2021",0,32.46153846,11.84615385,26,Burnet,,,-0.004708418,5,0,-1,1,-0.2
85, We’re all ready to be model citizens," The Courier - Mail; Brisbane, Qld."," Sep 28, 2021",0,37.09090909,13.18181818,22,,Doherty,,0.059435469,9,4,2,0,0.4
86, Delta delay ‘to set economic recovery back by six months’," The Australian; Canberra, A.C.T."," Sep 28, 2021",0,38.47058824,12.11764706,17,,Doherty,,-0.021502641,12,2,0,1,0
87, WE’RE STOP OF THE WORLD," The Daily Telegraph; Surry Hills, N.S.W."," Sep 28, 2021",0,44.97058824,14.5,34,,Doherty,,0.015254232,7,0,0,0,0
88, Delta delay ‘to set economic recovery back by six months’," The Australian; Canberra, A.C.T."," Sep 28, 2021",0,38.35294118,12.11764706,17,,Doherty,,-0.021502641,12,2,0,1,0
89, Herald Sun," Herald Sun; Melbourne, Vic."," Sep 28, 2021",0,32.32142857,10.39285714,28,,Doherty,,0.021666098,2,0,0,0,0
90, Borders ‘stay shut until curbs lifted’," The Australian; Canberra, A.C.T."," Sep 28, 2021",0,36.72222222,13.16666667,18,,Doherty,,0.009425377,8,1,0,0,0
91, Borders ‘stay shut until curbs lifted’," The Australian; Canberra, A.C.T."," Sep 28, 2021",0,36.72222222,13.16666667,18,,Doherty,,0.009425377,8,1,0,0,0
92, Feds pile pressure on Prem," The Gold Coast Bulletin; Southport, Qld."," Sep 28, 2021",0,31.22222222,11.11111111,18,,Doherty,,0.046852765,5,1,-1,0,-0.25
93, Delta delay ‘to set economic recovery back by six months’," The Australian; Canberra, A.C.T."," Sep 28, 2021",0,38.47058824,12.11764706,17,,Doherty,,-0.021502641,12,2,0,1,0
94, We’re all ready to be model citizens," The Courier - Mail; Brisbane, Qld."," Sep 28, 2021",0,37.09090909,13.18181818,22,,Doherty,,0.059435469,9,4,2,0,0.4
95, Jabs prove modelling pessimists wrong," The Australian; Canberra, A.C.T."," Sep 28, 2021",0,32.5,11.84615385,26,Burnet,,,-0.005028931,5,0,-1,1,-0.2
96, Joyce and local doctors agree: Only vaccination can save the local health system," The Armidale Express; Cessnock, N.S.W."," Sep 28, 2021",0,33.25,12.13888889,36,,Doherty,,0.015570576,14,3,3,0,0.272727273
97, Pandemic pressure: Can NSW rural and regional health cope?," The Dungog Chronicle; Dungog, N.S.W."," Sep 28, 2021",0,26.21428571,9.404761905,42,,Doherty,,0.015474852,11,1,-1,0,-0.1
98, Joyce and local doctors agree: Only vaccination can save the local health system," The Armidale Express; Cessnock, N.S.W."," Sep 28, 2021",0,33.25,12.13888889,36,,Doherty,,0.015570576,14,3,3,0,0.272727273
99, Vaccines begin to quell ICU numbers:   HOSPITALISATIONS PLATEAU," Sydney Morning Herald; Sydney, N.S.W."," Sep 28, 2021",0,27.25,9.035714286,28,Burnet,,,0.040346062,9,1,0,0,0
100," NSW was sent more than 100,000 extra Pfizer doses, but the discrepancy is only a tenth of what Victoria claimed it was owed:   NSW was sent about 126,000 extra doses of Pfizer, beyond that which had been publicly announced by the federal government, as of the end of August. But the discrepancy is only about a tenth of the 340,000 doses Victoria's government claimed it was owed this week.", ABC Premium News; Sydney," Sep 10, 2021",0,27.62162162,9.378378378,37,Burnet,,,0.043048814,76,35,0,2,0
101, Health stress warning over reopening plans, AAP General News Wire; Sydney," Sep 10, 2021",0,22.68,7.36,25,,Doherty,,0.03699487,6,1,-1,1,-0.2
102, Have your say," The Advertiser; Adelaide, S. Aust."," Sep 10, 2021",0,20.93617021,7.468085106,47,,Doherty,,-0.004982169,3,1,0,0,0
103, Health stress warning over reopening plans, AAP Bulletin Wire; Sydney," Sep 10, 2021",0,20.62068966,6.724137931,29,,Doherty,,0.037611851,6,1,-1,1,-0.2
104, Experts weigh risk of double-dose freedoms:   Analysis," The Age; Melbourne, Vic."," Sep 10, 2021",0,23.96551724,8.344827586,29,,Doherty,,-0.000404651,8,1,0,1,0
105, AMA says NSW reopening plan ignored warning in modelling," News.com.au; Sydney, N.S.W."," Sep 9, 2021",0,29.8125,10.75,16,Burnet,Doherty,,-0.006355949,9,1,-1,1,-0.125
106, AMA says NSW reopening plan ignored warning in modelling," News.com.au; Sydney, N.S.W."," Sep 9, 2021",0,29.8125,10.75,16,Burnet,Doherty,,-0.006355949,9,1,-1,1,-0.125
107, The Delta COVID outbreak has been less deadly than those last year due to vaccinations:   Data shows 153 people have died from COVID-19 during NSW's Delta outbreak — and many more are expected — but the number of deaths is far lower than last year., ABC Premium News; Sydney," Sep 9, 2021",0,25.48484848,7.96969697,33,Burnet,,,-0.051683741,48,16,-3,3,-0.09375
108," Covid-19: Hold your nerve, Scott Morrison tells divided leaders"," The Australian (Online); Canberra, A.C.T."," Sep 9, 2021",0,40.94444444,13.16666667,18,,Doherty,,0.060342934,11,1,1,0,0.1
109, Good leadership is guiding the way out of pandemic," The Australian (Online); Canberra, A.C.T."," Sep 9, 2021",0,24.64444444,9.266666667,45,,Doherty,,0.059393993,9,4,0,1,0
110, Covid histrionics gone to the dogs," The Australian (Online); Canberra, A.C.T."," Sep 9, 2021",0,26.05084746,9.762711864,59,,Doherty,,0.004830164,6,2,0,0,0
111, Health stress warning over reopening plans, AAP General News Wire; Sydney," Sep 9, 2021",1,22.66666667,7.333333333,6,,Doherty,,0.146554956,6,1,-1,1,-0.2
112, XMAS QUARANTINE TO REMAIN ON THE CARDS," The Northern Territory News; Darwin, N.T."," Sep 9, 2021",0,26.05555556,8.444444444,18,,Doherty,,0.003785041,7,0,0,0,0
113, LETTERS TO THE EDITOR," The Daily Telegraph; Surry Hills, N.S.W."," Sep 9, 2021",0,30.5625,11.3125,48,,Doherty,,0.009710361,4,0,0,0,0
114, Latest figures suggest lockdown increasingly unlikely to end next week," The Canberra Times; Canberra, A.C.T."," Sep 9, 2021",0,24.73333333,9,45,,Doherty,,0.016296963,10,1,0,0,0
