,title,publication,date,exclude,MWPS,MStopWPS,sentence_per_article,Burnet,Doherty,BlakelyThompson
1341, LETTERS TO THE EDITOR," The Daily Telegraph; Surry Hills, N.S.W."," Aug 10, 2020",0.0,26.22222222222222,9.092592592592593,54.0,,,Thompson
1342," Victoria appears past peak of second wave, experts say"," Taranaki Daily News; New Plymouth, New Zealand"," Aug 10, 2020",0.0,21.529411764705884,6.764705882352941,17.0,,Doherty,
1343," Victoria appears past peak of second wave, experts say"," The Press; Christchurch, New Zealand"," Aug 10, 2020",0.0,21.529411764705884,6.764705882352941,17.0,,Doherty,
1344," Victoria appears past peak of second wave, experts say", Timaru Herald; Timaru," Aug 10, 2020",0.0,21.529411764705884,6.764705882352941,17.0,,Doherty,
1345," Victoria appears past peak of second wave, experts say"," Dominion Post; Wellington, New Zealand"," Aug 10, 2020",0.0,21.529411764705884,6.764705882352941,17.0,,Doherty,
1346," Victoria appears past peak of second wave, experts say"," Waikato Times; Hamilton, New Zealand"," Aug 10, 2020",0.0,21.529411764705884,6.764705882352941,17.0,,Doherty,
1347," Victoria appears past peak of second wave, experts say"," Manawatu Standard; Palmerston North, New Zealand"," Aug 10, 2020",0.0,21.529411764705884,6.764705882352941,17.0,,Doherty,
1348," Victoria appears past peak of second wave, experts say"," The Southland Times; Invercargill, New Zealand"," Aug 10, 2020",0.0,21.529411764705884,6.764705882352941,17.0,,Doherty,
1349," Victoria appears past peak of second wave, experts say"," The Nelson Mail; Nelson, New Zealand"," Aug 10, 2020",0.0,21.529411764705884,6.764705882352941,17.0,,Doherty,
1350," Victoria appears past peak of second wave, experts say"," The Marlborough Express; Blenheim, New Zealand"," Aug 10, 2020",0.0,21.529411764705884,6.764705882352941,17.0,,Doherty,
1351," We're past peak of virus wave, say experts"," Sunday Age; Melbourne, Vic."," Aug 9, 2020",0.0,25.0,7.606060606060606,33.0,,Doherty,
1352, RUNNING OUT OF OPTIONS," Weekend Australian; Canberra, A.C.T."," Aug 8, 2020",0.0,29.62857142857143,11.057142857142857,70.0,,Doherty,Blakely
1353, Contact tracing delays prove costly," The Age; Melbourne, Vic."," Aug 8, 2020",0.0,29.966666666666665,11.033333333333333,30.0,Burnet,,
1354," Amid Victor ian coronavirus deaths, pressure mounts for respirator masks to protect Australian doctors:   State governments are building stockpiles of personal protective equipment for healthcare workers, but doctors fear unless the gold standard N95 respirator masks are rolled out it won't be enough to stop the infection and deaths of Australian medical workers.", ABC Premium News; Sydney," Aug 7, 2020",1.0,33.333333333333336,11.0,3.0,,,
1355, Slight hope in lockdowns," The Courier; Ballarat, Vic."," Aug 6, 2020",0.0,20.38235294117647,6.588235294117647,34.0,Burnet,Doherty,
1356, Slight hope in lockdowns," The Courier; Ballarat, Vic."," Aug 6, 2020",0.0,20.38235294117647,6.588235294117647,34.0,Burnet,Doherty,
1357, When will the numbers come down?," The Age; Melbourne, Vic."," Aug 6, 2020",0.0,28.15,11.15,20.0,Burnet,,
1358," Experts call for tougher restrictions as Victoria records 627 coronavirus cases:   Victoria announces 627 new cases of coronavirus, after Prime Minister Scott Morrison and Victorian Premier Daniel Andrews held discussions last night on how to tackle the crisis in Victoria.", ABC Premium News; Sydney," Jul 30, 2020",0.0,24.782608695652176,7.434782608695652,23.0,,,Blakely
1359, Full Stop," The Age; Melbourne, Vic."," Jul 25, 2020",0.0,26.709302325581394,10.093023255813954,86.0,,,Blakely
1360, Why the second campaign hasn't flattened the curve," Sydney Morning Herald; Sydney, N.S.W."," Jul 23, 2020",0.0,25.085714285714285,7.742857142857143,35.0,,Doherty,
1361, Why hasn't the curve flattened?," The Age; Melbourne, Vic."," Jul 23, 2020",0.0,26.375,8.125,32.0,,Doherty,
1362, Lockdown works or 500 cases every day," Weekend Australian; Canberra, A.C.T."," Jul 11, 2020",0.0,33.24,12.24,25.0,,Doherty,
1363, Lockdown works or 500 cases every day," Weekend Australian; Canberra, A.C.T."," Jul 11, 2020",0.0,33.24,12.24,25.0,,Doherty,
1364, The great Australian buys," The Daily Telegraph; Surry Hills, N.S.W."," Jul 11, 2020",0.0,22.112903225806452,7.258064516129032,62.0,,,Thompson
1365, Push to list 'dangerous' postcodes," The Age; Melbourne, Vic."," Jun 25, 2020",0.0,25.90625,9.15625,32.0,Burnet,,
1366, Virus setback should teach us key lessons," The Age; Melbourne, Vic."," Jun 25, 2020",0.0,23.161290322580644,9.580645161290322,31.0,,Doherty,
1367, Call for ‘failed’ doomsday health forecast models to be abandoned," The Australian; Canberra, A.C.T."," Jun 22, 2020",0.0,34.266666666666666,9.933333333333334,15.0,,Doherty,
1368, Virus bans ease amid fears of new wave," The Age; Melbourne, Vic."," Jun 20, 2020",0.0,27.129032258064516,8.806451612903226,31.0,,Doherty,
1369," As coronavirus cases rise in Victoria, how do we know when a second wave is starting?:   This week, Australia has registered more than triple the locally acquired cases of the previous week, and almost all of them are in Victoria. So how will we know if Australia is about to start rising up another curve?", ABC Premium News; Sydney," Jun 19, 2020",0.0,23.348314606741575,8.314606741573034,89.0,,Doherty,
1370, GUIDING LIGHT," The Weekend Australian Magazine; Surry Hills, N.S.W."," Jun 6, 2020",0.0,32.452991452991455,12.256410256410257,117.0,,Doherty,
1371, Green power shocker," The Daily Telegraph; Surry Hills, N.S.W."," Jun 2, 2020",0.0,31.0,9.6,20.0,,Doherty,
1372, Green power shocker," The Daily Telegraph; Surry Hills, N.S.W."," Jun 2, 2020",0.0,31.0,9.6,20.0,,Doherty,
1373, Green power shocker," The Daily Telegraph; Surry Hills, N.S.W."," Jun 2, 2020",0.0,31.0,9.6,20.0,,Doherty,
1374, What would a second wave look like?," Sunday Age; Melbourne, Vic."," May 31, 2020",0.0,22.77,7.98,100.0,,Doherty,
1375," Second wave, ripples, or something else?:   Explainer"," Sydney Morning Herald; Sydney, N.S.W."," May 30, 2020",0.0,23.447619047619046,8.17142857142857,105.0,,Doherty,
1376, Creating jobs out of $3b pay pain," The Daily Telegraph; Surry Hills, N.S.W."," May 28, 2020",0.0,35.642857142857146,12.071428571428571,14.0,,,
1377, Debate over coronavirus death predictions," Sydney Morning Herald; Sydney, N.S.W."," May 28, 2020",0.0,27.75,8.4,20.0,,Doherty,
1378, Modelling under fire amid low death toll:   Infection rates," The Age; Melbourne, Vic."," May 28, 2020",0.0,26.63157894736842,8.0,19.0,,Doherty,
1379, Murphy defends early coronavirus modelling," The Canberra Times; Canberra, A.C.T."," May 27, 2020",0.0,24.22222222222222,9.11111111111111,18.0,,Doherty,
1380, Demand for pickers remains high – Wide Bay needs 3000," News Mail Bundaberg; Bundaberg, Qld."," May 25, 2020",0.0,34.81818181818182,12.272727272727273,11.0,,,Thompson
1381, States race in elimination stakes," Sun Herald; Sydney, N.S.W."," May 24, 2020",0.0,23.51923076923077,8.596153846153847,52.0,,,Blakely
1382, RAPID RESPONSE," The Weekend Australian Magazine; Surry Hills, N.S.W."," May 23, 2020",0.0,26.674418604651162,9.953488372093023,129.0,,Doherty,
1383, You should be wary of these catastrophes," The Morning Bulletin; Rockhampton, Qld."," May 4, 2020",0.0,24.08823529411765,7.470588235294118,34.0,,Doherty,
1384, Beware catastrophisers," Sunshine Coast Daily; Maroochydore, Qld."," May 4, 2020",0.0,23.022727272727273,7.136363636363637,44.0,,Doherty,
1385, Police state driven by overreaction and alarmism," The Courier - Mail; Brisbane, Qld."," May 4, 2020",0.0,24.962962962962962,7.62962962962963,27.0,,Doherty,
1386, You should be wary of these catastrophisers," Herald Sun; Melbourne, Vic."," May 4, 2020",0.0,23.558139534883722,7.186046511627907,43.0,,Doherty,
1387, Tech data shows how we curbed travel to flatten curve," Weekend Australian; Canberra, A.C.T."," May 2, 2020",0.0,30.105263157894736,11.631578947368421,19.0,,Doherty,
1388, Beware letting inexact science of modelling drive policy," The Australian; Canberra, A.C.T."," Apr 27, 2020",0.0,23.441860465116278,8.790697674418604,43.0,,Doherty,
1389, PASSING THE TEST," Sydney Morning Herald; Sydney, N.S.W."," Apr 25, 2020",0.0,24.160714285714285,8.473214285714286,112.0,Burnet,Doherty,
1390, WHICH WAY OUT," The Age; Melbourne, Vic."," Apr 25, 2020",0.0,24.145454545454545,8.472727272727273,110.0,Burnet,Doherty,
1391," Coronavirus 'nowcasting' modelling shows Australian case numbers continue to fall:   As health authorities continue to refine modelling of Australia's coronavirus curve, the margin of error in their findings is getting wider — but that's actually a good thing.", ABC Premium News; Sydney," Apr 24, 2020",0.0,20.055555555555557,6.944444444444445,18.0,,Doherty,
1392, ‘I should’ve canned Grand Prix earlier’," The Australian; Canberra, A.C.T."," Apr 24, 2020",0.0,31.47142857142857,10.771428571428572,70.0,,Doherty,
1393, Schools should be first to reopen," Sydney Morning Herald; Sydney, N.S.W."," Apr 24, 2020",0.0,22.302325581395348,8.906976744186046,43.0,,Doherty,
1394, Schools should be first to reopen," The Age; Melbourne, Vic."," Apr 24, 2020",0.0,22.658536585365855,9.121951219512194,41.0,,Doherty,
1395," Coronavirus update: Donald Trump says Boris Johnson sounded 'incredible' amid reports the Prime Minister is preparing return to work:   President Donald Trump says British Prime Minister Boris Johnson is ""doing great"", as speculation mounts the leader is preparing to return to work after falling gravely ill with coronavirus.", ABC Premium News; Sydney," Apr 23, 2020",0.0,34.5,9.125,8.0,,,
1396, True infection count 'far higher than official tally':   modelling," The Age; Melbourne, Vic."," Apr 22, 2020",0.0,23.954545454545453,7.7272727272727275,22.0,,Doherty,
1397, Local figures likely off by an 'order of magnitude'," Sydney Morning Herald; Sydney, N.S.W."," Apr 22, 2020",0.0,25.05,8.4,20.0,,Doherty,
1398, Lives versus the economy is a statistical calculation:   Comment," Sydney Morning Herald; Sydney, N.S.W."," Apr 20, 2020",0.0,29.926829268292682,11.853658536585366,41.0,,Doherty,
1399, Lives versus the economy is a statistical calculation:   Comment," The Age; Melbourne, Vic."," Apr 20, 2020",0.0,29.926829268292682,11.853658536585366,41.0,,Doherty,
1400," Victorian coronavirus modelling shows thousands of deaths possible without physical distancing:   Chief Health Officer Brett Sutton reveals theoretical modelling which suggests 36,000 people could have been killed by coronavirus in Victoria if no physical-distancing measures were put in place.", ABC Premium News; Sydney," Apr 19, 2020",0.0,28.391304347826086,9.652173913043478,23.0,,Doherty,
1401, What might trigger a return to 'normal'? Why our coronavirus exit strategy is ... TBC," The Courier; Ballarat, Vic."," Apr 19, 2020",0.0,21.52,7.4,50.0,,Doherty,
1402, THE KEYS TO RESTART THE NATION’S ENGINE," Weekend Australian; Canberra, A.C.T."," Apr 18, 2020",0.0,24.01834862385321,8.431192660550458,109.0,,Doherty,
1403, Solving a puzzle with world looking over their shoulders," Weekend Australian; Canberra, A.C.T."," Apr 18, 2020",0.0,25.38235294117647,9.632352941176471,68.0,,Doherty,
1404, ‘Elimination’ looks possible," Townsville Bulletin; Townsville, Qld."," Apr 18, 2020",0.0,26.357142857142858,8.714285714285714,14.0,,Doherty,
1405, Next month the clincher," The Mercury; Hobart Town, Tas."," Apr 17, 2020",0.0,31.357142857142858,10.214285714285714,14.0,,Doherty,
1406, Restrictions won't change for four weeks: PM," The Canberra Times; Canberra, A.C.T."," Apr 17, 2020",0.0,27.31578947368421,9.947368421052632,19.0,,Doherty,
1407, BANS COULD EASE IN MONTH," Geelong Advertiser; Geelong, Vic."," Apr 17, 2020",0.0,38.083333333333336,12.666666666666666,12.0,,Doherty,
1408," Good signs, but we aren’t out of woods"," Herald Sun; Melbourne, Vic."," Apr 17, 2020",0.0,22.071428571428573,7.738095238095238,42.0,,Doherty,
1409, FOUR WEEKS TO FLICK SWITCH," Herald Sun; Melbourne, Vic."," Apr 17, 2020",0.0,33.208333333333336,10.583333333333334,24.0,,Doherty,
1410, Warning on effects of lifting restrictions:   modelling," The Age; Melbourne, Vic."," Apr 17, 2020",0.0,19.303030303030305,6.2727272727272725,33.0,,Doherty,
1411, Elimination date months away: model," Sydney Morning Herald; Sydney, N.S.W."," Apr 17, 2020",0.0,18.75,5.928571428571429,28.0,,Doherty,
1412, Lockdown easing in sight with 'epidemic in decline'," The Age; Melbourne, Vic."," Apr 17, 2020",0.0,29.17142857142857,9.742857142857142,35.0,,Doherty,
1413," Coronavirus restrictions to remain in place for at least four weeks, Scott Morrison says:   Scott Morrison says restrictions will need to stay in place until improved testing and tracing is implemented and state and territory governments increase their capabilities to respond to local outbreaks.", ABC Premium News; Sydney," Apr 16, 2020",1.0,24.166666666666668,7.833333333333333,6.0,,,
1414, COVID-19 decreasing in Australia: experts, AAP Bulletin Wire; Sydney," Apr 16, 2020",0.0,22.416666666666668,8.0,24.0,,Doherty,
1415, COVID-19 decreasing in Australia: experts, AAP General News Wire; Sydney," Apr 16, 2020",0.0,23.5,9.0,2.0,,Doherty,
1416," Australia is flattening the coronavirus curve. But should we try to squash it like New Zealand?:   If Australia is running a marathon in how it tackles coronavirus, New Zealand has opted for something closer to a sprint.", ABC Premium News; Sydney," Apr 15, 2020",1.0,32.266666666666666,10.466666666666667,15.0,,,
1417," Coronavirus: what causes a 'second wave' of disease outbreak, and could we see this in Australia?"," The Courier; Ballar at, Vic."," Apr 13, 2020",0.0,22.25581395348837,7.325581395348837,43.0,,Doherty,
1418, Coming Out," Sunday Age; Melbourne, Vic."," Apr 12, 20 20",0.0,33.25,12.153846153846153,52.0,,Doherty,Blakely
1419, They've got your whole world in their hands - and want to save it," Sun Herald; Sydney, N.S.W."," Apr 12, 2020",0.0,32.095238095238095,11.214285714285714,42.0,,Doherty,Blakely
1420, Could we see a second wave of coronavirus?," The Canberra Times; Canberra, A.C.T."," Apr 11, 2020",0.0,21.795454545454547,7.181818181818182,44.0,,Doherty,
1421," Gyms, nightclubs could be last in line:   REOPENING"," The Age; Melbourne, Vic."," Apr 11, 2020",0.0,26.6,9.08,25.0,,Doherty,
1422, Morrison's redemption is nigh," The Age; Melbourne, Vic."," Apr 11, 2020",0.0,16.514851485148515,5.762376237623762,101.0,,Doherty,
1423, Triumph of unity is PM's resurrection," Sydney Morning Herald; Sydney, N.S.W."," Apr 11, 2020",0.0,17.300970873786408,5.922330097087379,103.0,,Doherty,
1424," Crisis may last years, not months"," Sydney Morning Herald; Sydney, N.S.W."," Apr 10, 2020",0.0,17.49122807017544,6.508771929824562,57.0,,Doherty,Blakely
1425," Crisis may last years, not months"," The Age; Melbourne, Vic."," Apr 10, 2020",0.0,17.379310344827587,6.4655172413793105,58.0,,Doherty,Blakely
1426, HORROR COST IF BANS PERSIST," Herald Sun; Melbourne, Vic."," Apr 9, 2020",0.0,19.458333333333332,6.458333333333333,24.0,,Doherty,
1427, NO RECOVERY PLAYBOOK," The Australian; Canberra, A.C.T."," Apr 9, 2020",0.0,24.610526315789475,8.947368421052632,95.0,,Doherty,
1428, We aren’t immune to facing a wicked choice," Herald Sun; Melbourne, Vic."," Apr 9, 2020",0.0,22.243243243243242,8.18918918918919,37.0,,Doherty,Blakely
1429, It’s looking up Down Under," The Courier - Mail; Brisbane, Qld."," Apr 8, 2020",0.0,34.827586206896555,12.275862068965518,29.0,,Doherty,
1430, OZ GOING THE DISTANCE," The Daily Telegraph; Surry Hills, N.S.W."," Apr 8, 2020",0.0,29.620689655172413,8.689655172413794,29.0,,Doherty,
1431, RESURGENCE A REAL POSSIBILITY," Herald Sun; Melbourne, Vic."," Apr 8, 2020",0.0,31.03448275862069,8.931034482758621,29.0,,Doherty,
1432, Plan to let virus infect us slowly," The Australian; Canberra, A.C.T."," Apr 8, 2020",0.0,34.266666666666666,12.9,30.0,,Doherty,
1433, Warnings Easter could undo hard work," The Australian; Canberra, A.C.T."," Apr 8, 2020",0.0,28.41176470588235,10.0,34.0,,Doherty,
1434, Push to let virus infect us slowly," The Australian; Canberra, A.C.T."," Apr 8, 2020",0.0,34.793103448275865,13.10344827586207,29.0,,Doherty,
1435, Modelling shows dangers if virus allowed to run without controls," The Canberra Times; Canberra, A.C.T."," Apr 8, 2020",0.0,26.71875,9.53125,32.0,,Doherty,
1436, The magic number that will allow intensive care units to cope," The Canberra Times; Canberra, A.C.T."," Apr 8, 2020",0.0,21.026315789473685,7.842105263157895,38.0,,Doherty,
